School,Department,Course
,Dentistry,Dental Electives (DENTEL)
,Dentistry,Dental Foundations (DENTFN)
,Dentistry,Dental General Practice (DENTGP)
,Dentistry,Dental Hygiene (D HYG)
,Dentistry,Dental Pre-Clinical (DENTPC)
,Dentistry,Dental Public Health Sciences (DPHS)
,Dentistry,Dental Selectives (DENTSL)
,Dentistry,Dentistry (DENT) 
,Dentistry,Oral Surgery (O S)
,Dentistry,Pedodontics (PEDO)
,Dentistry,Endodontics (ENDO)
,Dentistry,Oral Biology (ORALB)
,Dentistry,Oral Health Sciences (OHS)
,Dentistry,Oral Medicine (ORALM)
,Dentistry,Orthodontics (ORTHO)
,Dentistry,Periodontics (PERIO)
,Dentistry,Prosthodontics (PROS)
,Dentistry,Restorative Dentistry (RES D)
Education,Education,Curriculum and Instruction (EDC&I)
,Education,College of Education (EDUC)
,Education,Early Childhood and Family Studies (ECFS)
,Education,Education (Teacher Education Program) (EDTEP)
,Education,Educational Leadership and Policy Studies (EDLPS)
,Education,Educational Psychology (EDPSY)
,Education,Special Education (EDSPE)
Engineering,Aeronautics and Astronautics,Aeronautics and Astronautics (A A)
,Aeronautics and Astronautics,Aerospace Engineering (A E)
,Chemical Engineering,Chemical Engineering (CHEM E)
,Chemical Engineering,Nanoscience and Molecular Engineering (NME)
,Civil and Environmental Engineering ,Civil and Environmental Engineering (CEE)
,Civil and Environmental Engineering ,"Construction, Energy, and Sustainable Infrastructure (CESI)"
,Civil and Environmental Engineering ,Environmental Engineering (CEWA)
,Civil and Environmental Engineering ,Structural and Geotechnical Engineering and Mechanics (CESG)
,Civil and Environmental Engineering ,Transportation Engineering (CET)
,Computer Science and Engineering,Computer Science and Engineering (CSE)
,Computer Science and Engineering,Computer Science and Engineering -- Accelerated Masters Program (CSE M)
,Computer Science and Engineering,Computer Science and Engineering -- Data Science (CSE D)
,Computer Science and Engineering,Computer Science and Engineering -- Professional Masters Program (CSE P)
,,Electrical Engineering (E E)
,,Engineering (ENGR)
,,Human Centered Design and Engineering (HCDE)
,,Industrial Engineering (IND E)
,,Materials Science and Engineering (MSE)
Environment,,Aquatic and Fishery Sciences (FISH)
,,Atmospheric Sciences (ATM S)
,Environment,College of the Environment (C ENV)
,Environment,Science Teaching (SCI T)
,,Earth and Space Sciences (ESS)
,,Program on the Environment (ENVIR)
,School of Environmental and Forest Sciences,Bioresource and Science Engineering (BSE)
,School of Environmental and Forest Sciences,Environmental Science and Resource Management (ESRM)
,School of Environmental and Forest Sciences,School of Environmental and Forest Sciences (SEFS)
,,Friday Harbor Labs (FHL)
,,School of Marine and Environmental Affairs (SMEA)
,,Marine Biology (MARBIO)
,,Oceanography (OCEAN)
,Center for Quantitative Science,Quantitative Science (Q SCI)
,Center for Quantitative Science,Quantitative Ecology and Resource Management (QERM)
