Academic_Year,Term,Course_Number,Course_Title,Primary_Instructor,Student_Count,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average_GPA
2015-16,20154 (Autumn 2015),EDTEP 521 A,TCH & LRN NUM I,"CUNARD, ADRIAN F.",27,20,7,,,,,,,,,,,,3.9
2015-16,20154 (Autumn 2015),EDTEP 521 B,TCH & LRN NUM I,"JACKSON, KARA J.",25,22,2,1,,,,,,,,,,,3.9
2015-16,20154 (Autumn 2015),EDTEP 522 C,TCH & LRN NUM II,"SHAHAN, EMILY C",27,8,15,2,1,1,,,,,,,,,3.6
2015-16,20154 (Autumn 2015),EDTEP 532 A,TCH & LRN LITRCY II,"ALLOWAY, MAXINE GOLDIE",27,7,17,3,,,,,,,,,,,3.7
2015-16,20154 (Autumn 2015),EDTEP 532 B,TCH & LRN LITRCY II,"VALENCIA, SHEILA W",25,16,7,1,1,,,,,,,,,,3.8
2015-16,20154 (Autumn 2015),EDTEP 532 C,TCH & LRN LITRCY II,"BIEN, ANDREA",28,10,12,4,2,,,,,,,,,,3.6
2015-16,20154 (Autumn 2015),EDTEP 544 A,DIFFERENTIATED INST,"ERICKSON, JEREMY J K",28,20,8,,,,,,,,,,,,3.8
2015-16,20154 (Autumn 2015),EDTEP 544 B,DIFFERENTIATED INST,"ERICKSON, JEREMY J K",25,21,4,,,,,,,,,,,,3.9
2015-16,20154 (Autumn 2015),EDTEP 544 C,DIFFERENTIATED INST,"FORMAN, STEPHANIE R",31,5,17,7,,2,,,,,,,,,3.5
2015-16,20154 (Autumn 2015),EDTEP 566 A,CLASSROOMS FOR ALL,"SMITH, MAYA",30,24,1,3,2,,,,,,,,,,3.8
2015-16,20154 (Autumn 2015),EDTEP 566 B,CLASSROOMS FOR ALL,"SMITH, MAYA",30,24,3,1,2,,,,,,,,,,3.8
2015-16,20154 (Autumn 2015),EDTEP 573 A,ASSMT SEC ED,"LI, MIN",17,15,1,1,,,,,,,,,,,3.9
2015-16,20154 (Autumn 2015),EDTEP 573 B,ASSMT SEC ED,"TIERNEY, GAVIN",17,17,,,,,,,,,,,,,4
2015-16,20154 (Autumn 2015),EDTEP 573 C,ASSMT SEC ED,"COOPER, SUSAN",14,11,2,1,,,,,,,,,,,3.9
2015-16,20154 (Autumn 2015),EDTEP 581 A,TCH ENG SEC SCH II,"MIKOLASY, KAREN L.",17,14,3,,,,,,,,,,,,3.9
2015-16,20154 (Autumn 2015),EDTEP 585 A,TCH SOC STDY SEC II,"PARKER, WALTER C",14,9,4,1,,,,,,,,,,,3.8
2015-16,20154 (Autumn 2015),EDUC 170 A,MATH ELEM TEACHERS,"SHAHAN, EMILY C",43,26,8,2,3,2,,1,,,,1,,,3.6
2015-16,20154 (Autumn 2015),EDUC 251 A,ED EQUITY/DIVERSITY,"CHEN, JONDOU",40,19,17,3,,1,,,,,,,,,3.7
2015-16,20154 (Autumn 2015),EDUC 305 A,PUB SCHL DEMOCRACY,"YOSHIDA, LA'AKEA",36,19,15,1,,,,,1,,,,,,3.7
2015-16,20154 (Autumn 2015),EDUC 310 A,CURRENT ISSUES,"GLASS HASTINGS, CASSADY",69,27,33,4,,,,,,3,,,2,,3.5
2015-16,20154 (Autumn 2015),EDUC 310 C,CURRENT ISSUES,"GLASS HASTINGS, CASSADY",22,3,17,1,1,,,,,,,,,,3.6
2015-16,20154 (Autumn 2015),EMBA 504 A,STRAT COMP ANLYS,"HILL, CHARLES W. L.",43,,34,9,,,,,,,,,,,3.5
2015-16,20154 (Autumn 2015),EMBA 504 B,STRAT COMP ANLYS,"HILL, CHARLES W. L.",32,,19,13,,,,,,,,,,,3.5
2015-16,20154 (Autumn 2015),EMBA 505 A,FIN REPORT ANLYS,"MATSUMOTO, DAWN A.",43,5,24,10,3,1,,,,,,,,,3.5
2015-16,20154 (Autumn 2015),EMBA 505 B,FIN REPORT ANLYS,"MATSUMOTO, DAWN A.",32,1,18,11,1,1,,,,,,,,,3.5
2015-16,20154 (Autumn 2015),EMBA 520 A,FINANCIAL MGMT,"KARPOFF, JONATHAN M",38,8,29,1,,,,,,,,,,,3.7
2015-16,20154 (Autumn 2015),EMBA 520 B,FINANCIAL MGMT,"KARPOFF, JONATHAN M",32,10,18,4,,,,,,,,,,,3.7
2015-16,20154 (Autumn 2015),EMBA 532 A,MARKETING MNGMNT,"TURNER, DAN",38,19,19,,,,,,,,,,,,3.8
2015-16,20154 (Autumn 2015),EMBA 532 B,MARKETING MNGMNT,"TURNER, DAN",32,16,16,,,,,,,,,,,,3.8
2015-16,20154 (Autumn 2015),EMBA 558 A,GEN MGMT & STRATEGY,"HILL, CHARLES W. L.",43,,34,9,,,,,,,,,,,3.5
2015-16,20154 (Autumn 2015),EMBA 558 B,GEN MGMT & STRATEGY,"HILL, CHARLES W. L.",32,,19,13,,,,,,,,,,,3.5
2015-16,20154 (Autumn 2015),ENGL 102 A,WRIT FM SOURCES II,"JONES, ALEXANDRA",18,4,8,4,2,,,,,,,,,,3.5
2015-16,20154 (Autumn 2015),ENGL 102 B,WRIT FM SOURCES II,"CHENEY, MOLLY K",14,,3,6,1,1,1,2,,,,,,,3
2015-16,20154 (Autumn 2015),ENGL 102 F,WRIT FM SOURCES II,"MESSINGER, PETER E",14,1,1,3,3,2,,3,,,,,1,,2.7
